question_name,choice_text,choice_value
지금 당장 떠난다면?,느긋한 여행이 좋아! 30일 동안 1개 도시,0
지금 당장 떠난다면?,알찬 여행이 좋아! 30일 동안 10개 도시,10
여행 출발 전 당신은?,여행은 판타지지! 여행지 배경의 영화를 찾아본다.,10
여행 출발 전 당신은?,여행은 다큐지! 가이드북과 블로그를 섭렵한다.,5
나의 여행 계획 스타일은?,계획 세우는 재미에 여행하는 거지!,5
나의 여행 계획 스타일은?,발길 닿는 대로 다니는 재미에 여행하는 거지!,10
둘 중에 포기할 수 없는 것은?,퀄리티가 있는 현지식과 맛있는 디저트,10
둘 중에 포기할 수 없는 것은?,쾌적하고 편안한 호텔,5
나의 짐싸기 스타일은?,언제 쓰일지 모르니 일단 챙기고 봐야지!,5
나의 짐싸기 스타일은?,여행갈 때는 짐이 적은게 최고야!,10
비행기 좌석배정?,어플로 미리미리,0
비행기 좌석배정?,당일에 카운터에서 직접,5
나의 여행 스타일은?,랜드마크를 가야 직성이 풀리는 명소도장깨기형,5
나의 여행 스타일은?,아무도 모르는 장소가 더 좋은 현지인 바이브형,10
여행지에서 당신의 소비성향은?,이왕 왔으니 사고 싶은거 다 사야지!,10
여행지에서 당신의 소비성향은?,여행에서도 알뜰살뜰 써야 후회 안한다!,0
여행지에서 10만원 소매치기를 당했다!,참을 수 없다! 찾을거란 기대로 경찰에 신고한다.,0
여행지에서 10만원 소매치기를 당했다!,시간이 금이다! 미련을 버리고 남은 시간을 즐긴다.,5
예술 감상 vs 자연 감상,나는 미술관에서 예술을 감상하는 게 좋아,5
예술 감상 vs 자연 감상,나는 자연으르 느낄 수 있는 곳이 좋아,5
여행지에서 현지인이 말을 걸어온다면?,혼자있는 게 좋아! 최소한의 대화만 한다.,0
여행지에서 현지인이 말을 걸어온다면?,우리는 모두 친구! 함께 어울린다.,5
여행지에서의 당신은?,남는 건 사진과 글뿐! 나는 순간을 기록하는 편,5
여행지에서의 당신은?,여행왔는데 기록할 시간이 어딨어? 나는 순간을 즐기는 편,10